Timestamp,"So, how did the whole session feel for you?",Has this session helped you become more confident in speaking English?,Was the Hangout Group session a comfortable space for you to speak English?,Are you interested in joining our next session?,"Any thoughts, suggestions, or even criticism? We’re open to hearing it all guys~
— feel free to use English or Bahasa Indonesia!",What's your LinkedIn URL?,Column 1
8/9/2025 20:44:06,5,5,5,YES!!!,i think it will be more fun if you guys do some chat camp or anything like that ,,
8/15/2025 20:58:22,5,5,5,YES!!!,,,
8/15/2025 20:58:35,5,5,5,YES!!!,,,
8/15/2025 20:58:58,5,5,5,YES!!!,,,
8/15/2025 20:59:22,5,4,3,YES!!!,,,
8/15/2025 20:59:27,5,5,5,YES!!!,I like discussing with fixed topic. So we could talk about many topics.,,
8/15/2025 20:59:33,5,5,5,YES!!!,its my first time and its totally fun,,
8/15/2025 21:01:24,5,5,5,YES!!!,Untuk game terlalu cepat untuk pemula,,
8/15/2025 21:01:25,5,5,5,YES!!!,It's been well-organized! Thanks guys (and girls too!!!) You're all awesome ☺,,
8/15/2025 21:01:54,4,5,5,YES!!!,Social dinner,,
8/15/2025 21:02:54,3,4,4,YES!!!,keren 👍🏻,,
8/23/2025 20:24:25,5,5,5,YES!!!,I hope to have a dinner or snack session hehe,,
8/23/2025 20:24:40,4,3,4,YES!!!,,,
8/23/2025 20:25:13,5,5,5,YES!!!,-,,
8/23/2025 20:35:55,5,5,5,YES!!!,,,
8/23/2025 20:36:28,5,5,5,YES!!!,nothing,,
8/23/2025 20:36:36,5,5,5,YES!!!,,,
8/23/2025 20:36:47,5,5,5,YES!!!,,,
8/23/2025 20:37:03,5,5,5,YES!!!,Introduce a bit more fun games.,,
8/23/2025 20:37:12,5,4,4,YES!!!,,,
8/23/2025 20:37:15,4,4,4,YES!!!,its all fine,,
8/23/2025 20:37:48,5,5,5,YES!!!,~,,
8/23/2025 20:37:51,5,5,5,YES!!!,"Would be fun to be with bigger group, with a game maybe?",,
8/23/2025 20:37:52,5,5,5,YES!!!,Totally fun! ,,
8/23/2025 20:38:19,4,5,4,YES!!!,"Have no idea about games but I hope there is a game that involves all of the participants available, not separated it groups. But maybe I find that quite difficult to manage",,
8/23/2025 20:38:41,5,5,5,YES!!!,Mungkin bisa ditambahkan pembelajaran nya mungkin dari vocab grammer atau apapun itu biar bisa lebih improve sesuai tingkat yang ada ,,
8/23/2025 20:38:58,4,5,4,YES!!!,,,
8/23/2025 20:40:55,5,5,5,YES!!!,I want game session,,
8/29/2025 21:03:54,5,4,3,YES!!!,more time ,,
8/29/2025 21:04:05,4,4,5,YES!!!,-,,
8/29/2025 21:04:06,5,5,5,YES!!!,"Suggestion for next game, let’s play hangman, if we wrong, let’s hang ucup",,
8/29/2025 21:04:41,5,5,5,YES!!!,It will be fun if there is natives for future meeting :),,
8/29/2025 21:04:45,5,5,5,YES!!!,-,,
8/29/2025 21:05:07,3,3,5,YES!!!,"Gameees, i want more gaameees",,
8/29/2025 21:05:12,5,5,5,YES!!!,A very fun session that everybody should join,,
8/29/2025 21:05:26,5,5,5,YES!!!,Kuatonya semoga ditambah :) dan lebih sering diadakan,,
8/29/2025 21:06:18,5,5,5,YES!!!,"No, i haven't. The topic's is really fun today. So i will join again.",,
8/29/2025 21:08:59,5,2,4,YES!!!,I want to challenge my thoughts pattern. Aku pingin challenge pikiran untuk ngobrol in real time. ,,
9/6/2025 20:54:08,5,5,5,YES!!!,keep up the good work!,,
9/6/2025 20:54:10,5,5,5,YES!!!,,,
9/6/2025 20:54:21,5,5,5,YES!!!,,,
9/6/2025 20:54:25,4,4,4,YES!!!,,,
9/6/2025 20:54:25,4,4,4,YES!!!,,,
9/6/2025 20:54:33,4,5,5,YES!!!,,,
9/6/2025 20:54:34,5,5,5,YES!!!,Games?,,
9/6/2025 20:54:33,5,5,5,YES!!!,,,
9/6/2025 20:54:41,5,5,5,YES!!!,,,
9/6/2025 20:54:41,5,5,5,YES!!!,"Bagus, ada edukasi ttg bahas Inggris dahulu supaya bisa mereview ilmu bahasa Inggris sebelum sesi FGD. Pertahankan yaa",,
9/6/2025 20:54:46,5,5,5,YES!!!,mungkin bisa agak sore? hihi,,
9/6/2025 20:54:49,5,5,5,YES!!!,"can you give us a ""slang"" to use for the next session maybe",,
9/6/2025 20:55:04,5,5,5,YES!!!,,,
9/6/2025 20:55:12,5,3,5,YES!!!,"Maybe keminggris have to create a WhatsApp group, so i can still communicate and chit chat with all of members even i can't attend ",,
9/6/2025 20:55:14,4,5,5,YES!!!,I think we need a lot more space for conversation instead of a lot of openings. Too much opening this session.,,
9/6/2025 20:55:16,5,5,5,YES!!!,More spesific topic,,
9/6/2025 20:55:45,5,5,5,YES!!!,"No,because this class is very good",,
9/12/2025 20:57:32,5,5,5,YES!!!,keep up!!,,
9/12/2025 20:57:46,5,5,5,YES!!!,"Nope kak, all goods : maybe more time for discussion its really helpfull and enjoy this so 40 minuste isnit enough ",,
9/12/2025 20:58:23,5,5,5,YES!!!,"All gewd and super fun, just hope the registration time will be longer ~",,
9/12/2025 20:58:27,5,5,3,YES!!!,Pertama kali ikut.. jujur asikk sih.. sementara pertahankan aja kak.,,
9/12/2025 20:58:34,5,5,5,YES!!!,Can't really explain it since it's too good but only one word : FANTASTIC! the only problem is I kinda feel under the weather so I kinda feel unwell during the session but everything is okay!,,
9/12/2025 20:58:42,5,5,5,YES!!!,"Longer session please, i am so excited. This community help me a lot for my english practice ",,
,,,,,,,
6,5.00,5.00,4.67,,,,
